Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Zambia,ZMB,1975,Number of infant deaths,SH.DTH.IMRT,19736
Zambia,ZMB,1974,Number of infant deaths,SH.DTH.IMRT,19439
Zambia,ZMB,1973,Number of infant deaths,SH.DTH.IMRT,19344
Zambia,ZMB,1972,Number of infant deaths,SH.DTH.IMRT,19264
Zambia,ZMB,1971,Number of infant deaths,SH.DTH.IMRT,19187
Zambia,ZMB,1970,Number of infant deaths,SH.DTH.IMRT,18971
Zambia,ZMB,1969,Number of infant deaths,SH.DTH.IMRT,18608
Zambia,ZMB,1968,Number of infant deaths,SH.DTH.IMRT,18144
Zambia,ZMB,1967,Number of infant deaths,SH.DTH.IMRT,17609
Zambia,ZMB,1966,Number of infant deaths,SH.DTH.IMRT,17061
Zambia,ZMB,1965,Number of infant deaths,SH.DTH.IMRT,16578
Zambia,ZMB,1964,Number of infant deaths,SH.DTH.IMRT,16149
Zambia,ZMB,1963,Number of infant deaths,SH.DTH.IMRT,15771
Zambia,ZMB,1962,Number of infant deaths,SH.DTH.IMRT,15424
Zambia,ZMB,1961,Number of infant deaths,SH.DTH.IMRT,15135
Zambia,ZMB,1960,Number of infant deaths,SH.DTH.IMRT,14860
Zambia,ZMB,2021,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,7.37230358663534
Zambia,ZMB,2020,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.83910423791984
Zambia,ZMB,2019,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.78025345001386
Zambia,ZMB,2015,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.38717265746182
